scheduled_departure,departure_status,departure_delay_time,wind_direction,wind_speed,wind_gust,visibility,current_wx1,current_wx2,current_wx3,low_cloud_type,low_cloud_level,medium_cloud_type,medium_cloud_level,high_cloud_type,high_cloud_level,highest_cloud_type,highest_cloud_level,air_temperature,dew_point_temperature,altimeter,ts
2023-09-19 03:00:00,in_time,0.0,90.0,3.0,,10000.0,,,,,,,,,,,,22.0,16.0,30.09,0
2023-09-20 19:00:00,in_time,0.0,130.0,4.0,,10000.0,,,,,,,,,,,,30.0,13.0,30.03,0
2023-09-21 10:00:00,in_time,0.0,80.0,6.0,,8000.0,,,,OVC,900.0,,,,,,,18.0,17.0,30.12,0
2023-09-21 01:00:00,in_time,0.0,110.0,5.0,,10000.0,,,,,,,,,,,,20.0,16.0,30.12,0
2023-09-21 00:00:00,in_time,0.0,110.0,5.0,,10000.0,,,,,,,,,,,,21.0,17.0,30.09,0
2023-09-20 20:00:00,in_time,0.0,160.0,7.0,,10000.0,,,,,,,,,,,,28.0,17.0,30.03,0
2023-09-22 10:00:00,in_time,0.0,70.0,5.0,,900.0,FG,,,SCT,200.0,,,,,,,17.0,17.0,30.0,0
2023-09-22 00:00:00,delayed,28.0,0.0,0.0,,4000.0,BR,,,NSC,,,,,,,,20.0,19.0,30.06,0
2023-09-21 20:00:00,delayed,56.0,140.0,7.0,,6000.0,,,,NSC,,,,,,,,28.0,19.0,29.97,0
2023-09-21 19:00:00,in_time,0.0,230.0,5.0,,10000.0,,,,,,,,,,,,30.0,19.0,29.97,0
2023-09-23 10:00:00,in_time,0.0,60.0,3.0,,10000.0,,,,,,,,,,,,20.0,17.0,30.03,0
2023-09-23 01:00:00,delayed,60.0,180.0,1.0,,10000.0,,,,,,,,,,,,21.0,18.0,30.06,0
2023-09-23 00:00:00,delayed,31.0,190.0,6.0,,8000.0,,,,NSC,,,,,,,,22.0,18.0,30.06,0
2023-09-22 20:00:00,delayed,35.0,180.0,4.0,,9999.0,-RA,,,FEW,4500.0,SCT,7000.0,,,,,29.0,16.0,29.94,0
2023-09-22 03:00:00,in_time,0.0,200.0,2.0,,5000.0,BR,,,NSC,,,,,,,,18.0,18.0,30.03,0
2023-09-24 10:00:00,delayed,37.0,80.0,3.0,,9000.0,,,,NSC,,,,,,,,20.0,16.0,30.0,0
2023-09-24 01:00:00,in_time,0.0,110.0,2.0,,10000.0,,,,,,,,,,,,20.0,12.0,30.0,0
2023-09-24 00:00:00,delayed,26.0,170.0,2.0,,10000.0,,,,,,,,,,,,22.0,13.0,30.0,0
2023-09-23 20:00:00,delayed,16.0,160.0,7.0,,10000.0,,,,,,,,,,,,30.0,17.0,29.94,0
2023-09-23 19:00:00,in_time,0.0,170.0,6.0,,10000.0,,,,,,,,,,,,33.0,18.0,29.94,0
2023-09-23 03:00:00,delayed,51.0,0.0,0.0,,10000.0,,,,,,,,,,,,19.0,17.0,30.03,0
2023-09-25 10:00:00,delayed,32.0,130.0,3.0,,9999.0,,,,OVC,900.0,,,,,,,20.0,19.0,30.03,0
2023-09-25 00:00:00,delayed,16.0,80.0,3.0,,10000.0,,,,,,,,,,,,28.0,17.0,29.94,0
2023-09-24 20:00:00,delayed,58.0,290.0,9.0,,10000.0,,,,,,,,,,,,34.0,13.0,29.88,0
2023-09-24 12:00:00,delayed,17.0,0.0,0.0,,10000.0,,,,,,,,,,,,27.0,17.0,29.97,0
2023-09-24 19:00:00,in_time,0.0,290.0,9.0,,9999.0,,,,FEW,4000.0,,,,,,,35.0,12.0,29.88,0
2023-09-25 19:00:00,delayed,59.0,190.0,7.0,,8000.0,,,,NSC,,,,,,,,25.0,19.0,29.91,0
2023-09-26 10:00:00,in_time,0.0,70.0,12.0,,9999.0,,,,BKN,900.0,,,,,,,21.0,19.0,29.94,0
2023-09-26 01:00:00,delayed,31.0,110.0,7.0,,9999.0,,,,OVC,1300.0,,,,,,,21.0,18.0,30.0,0
2023-09-26 00:00:00,delayed,104.0,140.0,5.0,,9999.0,,,,OVC,1400.0,,,,,,,21.0,18.0,30.0,0
2023-09-25 20:00:00,in_time,0.0,180.0,7.0,,8000.0,,,,BKN,1500.0,,,,,,,23.0,19.0,29.94,0
2023-09-25 03:00:00,delayed,27.0,170.0,4.0,,8000.0,,,,SCT,1300.0,BKN,2100.0,,,,,22.0,19.0,30.0,0
2023-09-26 19:00:00,in_time,0.0,280.0,10.0,,10000.0,,,,,,,,,,,,36.0,16.0,29.77,0
2023-09-27 10:00:00,in_time,0.0,320.0,8.0,20.0,7000.0,,,,NSC,,,,,,,,28.0,18.0,29.83,0
2023-09-27 01:00:00,in_time,0.0,80.0,1.0,,10000.0,,,,,,,,,,,,27.0,21.0,29.85,0
2023-09-27 00:00:00,in_time,0.0,60.0,2.0,,10000.0,,,,,,,,,,,,26.0,22.0,29.85,0
2023-09-26 20:00:00,delayed,30.0,280.0,9.0,,10000.0,,,,,,,,,,,,34.0,16.0,29.77,0
2023-09-26 12:00:00,in_time,0.0,60.0,12.0,,9999.0,,,,FEW,900.0,,,,,,,23.0,20.0,29.94,0
2023-09-26 03:00:00,delayed,16.0,150.0,5.0,,9999.0,,,,OVC,1300.0,,,,,,,21.0,18.0,30.03,0
2023-09-27 19:00:00,in_time,0.0,180.0,6.0,,9000.0,-TSRA,,,FEW,900.0,SCT,2000.0,FEW,3000.0,BKN,5000.0,21.0,20.0,29.83,1
2023-09-28 10:00:00,in_time,0.0,160.0,3.0,,9999.0,,,,SCT,1500.0,OVC,1700.0,,,,,15.0,12.0,30.09,0
2023-09-28 01:00:00,delayed,26.0,140.0,3.0,,9999.0,,,,BKN,900.0,BKN,8000.0,,,,,20.0,19.0,29.97,0
